id;nombre;abreviatura;estado;tabla_tipos_catalogo_id
1;Pregrados;ESTPRE;true;1
2;Postgrados;ESTPOST;true;1
3;Virtual;FORMVTL;true;2
4;Presencial;FORMPRSNL;true;2
5;Imagén presentación;TIPDOCIMG;true;3
6;Documentos;TIPDOCDOC;true;3
7;Plan estudio;TIPDOCPLST;true;3
8;Facebook;RDSCALFBCEK;true;4
9;Instagram;RDSCALINSGM;true;4
10;TikTok;RDSCALTKTOK;true;4
11;Twitter;RDSCALTWTTR;true;4
12;YouTube;RDSCALYUTBE;true;4
13;Profesor de Planta;PRFRPLT;true;5
14;Profesor de Suplente;PRFRSPLT;true;5
15;Doctorado;TLSACDTRD;true;6
16;Pregrado;TLSACDPGD;true;6
17;Postgrado;TLSACDPSGD;true;6
18;Maestria;TLSACDMTRA;true;6
19;Pregrado;NVADMCPGD;true;7
20;Maestria;NVADMCMTR;true;7
21;Postgrado;NVADMCPTGD;true;7
